客户编号,套餐品牌,信用等级,是否使用4GUSIM卡,是否4G资费,网龄,当月ARPU,当月MOU,当月DOU,终端使用时间（月）,当月省内漫游时长,当月省际漫游时长,营销是否成功
10942,2,5,0,1,204,2201.08,2611,54557,22,42,1528,0
13382,2,5,0,0,201,2181.71,3371,35250,15,24,1120,0
4192,2,5,1,1,167,2055.6,6913,5884426,1,2708,0,1
10908,2,5,1,0,171,1827.33,2157,178070,4,260,15,1
14130,2,5,0,1,216,1736.4,4218,358592,35,28,0,1
52,2,5,1,1,224,1725.44,2898,352536,1,432,244,0
10102,2,5,1,0,190,1704.27,2961,107102,1,87,166,1
11249,2,5,1,0,193,1557.04,3944,54865,9,67,2943,0
1129,2,5,0,1,199,1537.14,2365,401955,11,94,17,1
2985,2,5,1,1,180,1521.1,2458,187045,23,0,100,0
11312,2,5,1,0,167,1440.28,3098,0,1,1247,443,1
11064,2,5,1,1,167,1438.18,1284,1159282,0,416,7,0
8020,2,5,0,0,169,1344.12,1058,466405,10,47,0,1
8853,2,5,0,0,190,1341.59,1120,98001,7,0,0,1
4766,2,5,1,1,163,1291.56,5642,350414,29,0,537,1
710,2,5,1,1,206,1193.58,1810,982078,4,302,46,0
11233,2,5,1,1,160,1182.89,9176,143004,9,403,3149,1
699,2,5,1,1,212,1151.57,1051,37,4,8,267,1
8043,2,5,1,0,196,1112.84,5374,1043102,3,8,4448,0
17261,2,5,1,1,197,1045.23,3136,292396,3,166,2379,1
2925,2,5,1,1,146,1025.43,1977,572168,0,26,195,0
13516,2,5,1,0,190,1008.39,2358,24102,40,276,110,0
9707,2,5,1,1,165,992.58,1316,667247,11,0,2,1
8636,2,5,0,0,188,991.96,6050,20500,5,143,2275,0
733,2,5,1,1,209,968.52,1824,374396,2,46,340,0
11308,2,5,1,1,165,949.67,8113,806137,13,697,5502,1
9287,2,5,1,1,197,943.64,1243,1896598,2,69,27,1
11099,2,5,1,1,221,933.47,5858,911830,0,3011,859,1
8655,2,5,0,0,185,928.44,1285,145101,21,18,45,1
8000,2,5,1,1,192,927.44,4574,966166,8,172,0,1
8757,2,5,0,0,186,905.61,939,6329,26,54,66,0
15897,2,5,0,0,189,905.25,241,0,2,9,14,1
8407,2,5,0,0,185,876.83,253,2654,2,14,18,1
10370,2,5,0,0,205,875.93,1288,115017,1,60,101,1
11113,2,5,0,0,200,875.3,2463,274785,2,110,323,0
13968,2,5,1,1,167,873.63,1487,364132,0,38,145,0
15644,2,5,1,0,191,864.57,7003,0,30,0,0,0
15038,2,5,0,1,230,852.09,1555,1292917,1,213,115,0
11217,2,5,0,0,199,851.8,1272,159396,6,377,215,1
4188,2,5,1,1,216,844.25,626,31632,2,9,39,0
8048,2,5,0,1,176,840.04,6456,151361,10,5139,0,0
11303,2,5,0,0,202,838.17,3902,224301,21,200,817,1
11310,2,5,1,1,160,829.21,1802,920363,7,46,0,0
12650,2,5,0,1,196,822.05,1426,538129,4,87,15,1
8042,2,5,0,0,197,819.79,107,0,34,0,0,0
9695,2,5,1,1,194,815.68,5097,1381693,7,0,61,0
1190,2,5,1,1,197,810.73,1115,2580422,8,44,33,1
6993,2,5,0,0,191,809.01,2533,80574,14,113,237,1
12621,2,5,1,1,200,803.66,1152,1168202,9,5,1,0
11144,2,5,1,1,194,802.13,3602,181994,4,295,51,1
11311,2,5,1,1,199,792.92,2550,203463,0,75,0,0
10606,2,5,1,1,176,791.65,1559,686328,2,26,65,0
4300,2,5,1,1,166,786.14,4010,103330,5,0,0,1
10339,2,5,1,1,203,774.21,2226,285819,2,19,136,0
10030,2,5,1,1,207,773.82,1116,667689,0,25,68,1
10305,2,5,1,1,198,773.78,3938,1981785,7,0,0,0
8690,2,5,0,0,189,765.83,2373,81574,24,48,0,0
15937,2,5,0,0,189,756.57,2160,59370,9,2,13,0
8620,2,5,0,1,195,754.38,3381,189645,21,105,0,0
16418,2,5,1,1,179,751.98,3705,25111,4,275,764,0
4451,2,5,1,1,164,747.12,2858,261870,1,70,0,0
11269,2,5,1,1,203,743.13,9931,242315,13,726,559,0
1288,2,5,1,1,199,740.02,2770,417508,6,183,7,0
9704,2,5,1,1,172,738.76,2579,331279,0,99,767,0
1313,2,5,1,1,213,737.95,1210,369649,16,3,11,0
2458,2,5,1,1,184,735.62,5205,114491,1,2165,1545,0
1795,2,5,1,1,190,732.49,2654,1025511,9,205,0,0
9678,2,5,0,0,146,731.72,2342,171088,2,56,0,0
10114,2,5,1,1,188,726.66,2434,1093849,2,49,474,0
9701,2,5,1,1,182,724.15,725,718224,2,0,0,0
4072,2,5,1,1,168,719.83,2835,347500,17,159,22,0
421,2,5,1,1,214,719.38,2103,927811,4,33,485,0
9284,2,5,0,1,211,718.82,1144,311410,12,14,0,0
11282,2,5,1,1,189,716.08,4828,404554,0,13,2850,0
4553,2,5,1,1,163,714.37,2171,469811,0,0,230,0
9698,2,5,1,1,212,712.5,3136,1181800,2,1436,69,0
9699,2,5,1,1,196,711.47,2407,0,15,118,0,0
4216,2,5,1,1,165,700.94,7613,559487,4,79,0,0
1093,2,5,1,1,205,699.01,11406,866765,7,500,5705,0
709,2,5,1,1,216,695.11,697,5381,8,1,26,0
