col1,col2,col3,col4,col5,col6,col7,col8,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
0.547,0.792,0.079,0.248,836.6,3.619,0.419,0.031,0.143,6.015,0.002,0.571,31.111,1.28,0.526,0.001,220.957,1.091,0.029
0,1.171,1.069,0.044,5.5,0.144,0.559,1.626,4.854,93.315,0.765,0.642,0.009,0.156,8.588,0.144,580.098,0.102,1.448
20.158,0.086,1.611,0.124,3909.5,0.29,0.091,0.053,1.773,3222.033,4.07,0.1,100.169,0.004,8.549,0.219,1587.042,3.037,0.497
0.044,13.486,0.002,1.461,2165,0.275,0.223,0.223,0.406,60.697,20.297,0.178,761.796,2.007,1.887,0.458,28.475,0.244,0.043
3.265,9.698,0.117,3.222,1166,1.114,0.002,1.242,1.261,1220.511,13.474,1.413,10.965,0.284,31.548,9.23,1679.143,0.07,2.185
0,0,0.358,0.036,90,0.596,1.564,0.004,1.372,645.54,0.076,2.063,656.526,1.966,32.533,3.5,103.634,0.074,4.457
0.013,1.123,0.326,0.369,11791.1,0.082,0.149,0.086,3.211,338.38,4.577,0.003,282.286,0.486,0.089,0.461,815.044,11.5,1.596
1.666,3.008,2.39,1.637,30.6,0.094,2.802,0.727,0.611,236.117,1.828,0.004,476.149,0.03,1.277,0.127,5461.482,0.317,2.632
3.211,0.012,2.195,2.38,4184.3,0.056,1.575,0.629,0.032,875.587,3.689,0.37,1617.862,0.001,4.336,1.669,3495.333,3.414,0.172
2.977,0.054,2.186,3.515,1826.6,2.672,0.019,0.212,0.509,3897.988,1.007,2.924,1772.498,2.576,31.805,0.983,173.133,1.668,1.649
1.656,4.5,0.422,2.847,3413.6,0.11,0.028,0.002,0.651,1964.205,0.039,0.145,86.303,0.008,9.984,0.04,252.07,4.774,0.773
10.579,5.778,2.911,7.553,6.4,0.041,,1.97,2.289,614.65,4.077,0.717,4.122,1.469,0.085,1.777,275.386,0.399,0.806
9.301,0.084,0.519,0.061,791,0.112,,1.098,0.009,105.817,1.091,0.939,82.926,2.119,7.643,0.065,229.074,0.559,0.07
0.452,1.765,0.149,1.466,377.5,2.601,,0.074,0.411,978.967,2.901,1.001,51.359,0.018,0.049,1.019,238.614,0.065,0.008
4.192,1.944,2.008,0.1,177.9,0.42,,0.158,0.028,193.38,,2.047,336.236,0.002,12.859,2.055,282.867,0.504,0.324
